Code;Description
%;percent
%/100{WBC};percent / 100 WBC
%{0to3Hours};percent 0to3Hours
%{Abnormal};percent Abnormal
%{Activity};percent Activity
%{BasalActivity};percent BasalActivity
%{Binding};percent Binding
%{Blockade};percent Blockade
%{Carboxyhemoglobin};percent Carboxyhemoglobin
%{Conversion};percent Conversion
%{Cound};percent Cound
%{EosSeen};percent EosSeen
%{Excretion};percent Excretion
%{Fat};percent Fat
%{FetalErythrocytes};percent FetalErythrocytes
%{Hemoglobin};percent Hemoglobin
%{HemoglobinA1C};percent HemoglobinA1C
%{HemoglobinSaturation};percent HemoglobinSaturation
%{Hemolysis};percent Hemolysis
%{HumanResponse};percent HumanResponse
%{Index};percent Index
%{Inhibition};percent Inhibition
%{Live};percent Live
%{Negative Control};percent Negative Control
%{Normal};percent Normal
%{NormalControl};percent NormalControl
%{NormalPooledPlasma};percent NormalPooledPlasma
%{ofAvailable};percent ofAvailable
%{ofBacteria};percent ofBacteria
%{OfLymphocytes};percent OfLymphocytes
%{OfWBCs};percent OfWBCs
%{Oxygen};percent Oxygen
%{Positive};percent Positive
%{Precipitate};percent Precipitate
%{Reactivity};percent Reactivity
%{response};percent response
%{risk};percent risk
%{SpermMotility};percent SpermMotility
%{Total};percent Total
%{TotalProtein};percent TotalProtein
%{Tot'Cholesterol};percent Tot'Cholesterol
%{Tot'Hgb};percent Tot'Hgb
%{Uptake};percent Uptake
%{vol};VolumePercent
%{WeightToWeight};percent WeightToWeight
/(12.h);per 12 * hour
/[arb'U];per arbitrary unit
/[HPF];per high power field
/[iU];per international unit
/[LPF];per low power field
/{Entity};per Entity
/[HPF];per hpf
/[LPF];per LPF
/{oif};per oif
/{Specimen};per Specimen
/{tot};per tot
/10*10;PerTenGiga
/10*12;PerTrillion
/10*12{rbc};PerTrillionRedBloodCells
/10*6;PerMillion
/10*9;PerBillion
/100;per 100
/100{cells};per 100 cells
/100{neutrophils};per 100 neutrophils
/100{spermatozoa};per 100 spermatozoa
/100{WBC};Per100WBC
/100{WBCs};Per100WBC
/a;/ year
/cm[H2O];per centimeter of water
/d;per day
/dL;per deciliter
/g;per gram
/g{creat};per gram creat
/g{hgb};per gram hgb
/g{tot'nit};per gram tot'nit
/g{tot'prot};per gram tot'prot
/g{wet'tis};per gram wet'tis
/h;per hour
/kg;per kilogram
/kg{body'wt};per kilogram body wt
/L;per liter
/m2;per square meter
/mg;per milligram
/min;per minute
/mL;per milliliter
/mm3;per cubic millimeter
/mmol;per millimole
/mo;per month
/s;per second
/U;per enzyme unit
/ug;per microgram
/uL;per microliter
/wk;per week
[APL'U];IgA anticardiolipin unit
[APL'U]/mL;IgA anticardiolipin unit per milliliter
[arb'U];arbitrary unit
[arb'U]/L;arbitary unit / liter
[arb'U]/mL;arbitrary unit per milliliter
[AU];allergy unit
[BAU];bioequivalent allergen unit
[beth'U];Bethesda unit
[CFU];colony forming unit
[CFU]/L;colony forming unit per liter
[CFU]/mL;colony forming unit per milliliter
[Ch];French (catheter gauge)
[cin_i];cubic inch
[cup_us];cup
[degF];degree Fahrenheit
[dr_av];Dram (US and British)
[drp];drop
[drp]/[HPF];drop / HPF
[drp]/h;drop / hour
[drp]/min;drop / minute
[drp]/mL;drop / milliliter
[drp]/s;drop / second
[fdr_us];fluid dram
[foz_br];fluid ounce
[foz_us];fluid ounce
[ft_i];Feet
[fth_i];fathom
[gal_br];gallon
[gal_us];Queen Anne's wine gallon
[GPL'U];IgG anticardiolipin unit
[gr];grain
[in_i];inch (international)
[iU];international unit
[IU]/(2.h);international unit per 2 hour
[IU]/(24.h);international unit per 24 hour
[IU]/10*9{RBCs};international unit per billion red blood cells
[IU]/d;international unit per day
[IU]/dL;international unit per deciliter
[IU]/g;international unit per gram
[IU]/g{Hb};international unit per gram of hemoglobin
[iU]/g{Hgb};international unit / gram Hgb
[IU]/h;international unit per hour
[IU]/kg;international unit per kilogram
[IU]/kg/d;international unit per kilogram per day
[IU]/L;international unit per liter
[IU]/min;international unit per minute
[IU]/mL;international unit per milliliter
[lb_av];pound (US and British)
[mi_i];statute mile
[mi_us];mile
[min_us];minim
[MPL'U];IgM anticardiolipin unit
[nmi_i];nautical mile
[oz_av];ounce (US and British)
[oz_tr];ounce
[pH];pH
[pi].rad/min;the number pi * radian / minute
[ppb];part per billion
[ppm];part per million
[ppm]{v/v};part per million in volume per volume
[pptr];part per trillion
[ppth];parts per thousand
[pptr];parts per trillion
[psi];pound per square inch
[pt_br];pint
[qt_br];quart
[qt_us];quart
[sft_i];square foot (international)
[sin_i];square inch (international)
[ston_av];short ton U.S. ton
[syd_i];square yard
[tbs_us];tablespoon (US)
[tb'U];tuberculin unit
[todd'U];Todd unit
[tsp_us];teaspoon
[yd_i];yard
{# of calculi};# of calculi
{# of donor informative markers};# of donor informative markers
{# of fetuses};# of fetuses
{# of informative markers};# of informative markers
{#};#
{2 or 3 times}/d;2 or 3 times / day
